YYYYMMDDHH FOGO
2009121812 0
2009121818 0
2009121900 0
2009121906 0
2009121912 0
2009121918 1
2009122000 0
2009122006 0
2009122012 0
2009122018 1
2009122100 0
2009122106 0
2009122112 0
2009122118 0
2009122200 0
2009122206 0
2009122212 0
2009122218 3
2009122300 0
2009122306 0
2009122312 2
2009122318 0
2009122400 0
2009122406 0
2009122412 0
2009122418 5
2009122500 0
2009122506 0
2009122512 0
2009122518 0
2009122600 0
2009122606 0
2009122612 0
2009122618 0
2009122700 0
2009122706 0
2009122712 0
2009122718 0
2009122800 0
2009122806 0
2009122812 0
2009122818 0
2009122900 0
2009122906 0
2009122912 0
2009122918 0
2009123000 0
2009123006 0
2009123012 0
2009123018 0
2009123100 0
2009123106 0
2009123112 0
2009123118 0
2010010100 0
2010010106 0
2010010112 0
2010010118 0
2010010200 0
2010010206 0
2010010212 0
2010010218 0
2010010300 0
2010010306 0
2010010312 0
2010010318 0
2010010400 1
2010010406 0
2010010412 0
2010010418 5
2010010500 0
2010010506 0
2010010512 0
2010010518 2
2010010600 0
2010010606 0
2010010612 2
2010010618 0
2010010700 0
2010010706 0
2010010712 0
2010010718 0
2010010800 0
2010010806 0
2010010812 0
2010010818 0
2010010900 0
2010010906 0
2010010912 0
2010010918 2
2010011000 0
2010011006 0
2010011012 0
2010011018 0
2010011100 0
2010011106 0
2010011112 1
2010011118 6
2010011200 0
2010011206 0
2010011212 0
2010011218 0
2010011300 0
2010011306 0
2010011312 6
2010011318 0
2010011400 2
2010011406 0
2010011412 0
2010011418 0
2010011500 0
2010011506 0
2010011512 0
2010011518 0
2010011600 0
2010011606 0
2010011612 0
2010011618 5
2010011700 0
2010011706 0
2010011712 0
2010011718 0
2010011800 0
2010011806 0
2010011812 2
2010011818 5
2010011900 0
2010011906 0
2010011912 0
2010011918 0
2010012000 0
2010012006 1
2010012012 4
2010012018 4
2010012100 8
2010012106 0
2010012112 0
2010012118 0
2010012200 0
2010012206 0
2010012212 1
2010012218 3
2010012300 1
2010012306 0
2010012312 0
2010012318 5
2010012400 0
2010012406 0
2010012412 0
2010012418 0
2010012500 0
2010012506 0
2010012512 0
2010012518 2
2010012600 0
2010012606 0
2010012612 0
2010012618 0
2010012700 3
2010012706 4
2010012712 4
2010012718 2
2010012800 0
2010012806 0
2010012812 0
2010012818 0
2010012900 0
2010012906 0
2010012912 1
2010012918 5
2010013000 5
2010013006 0
2010013012 0
2010013018 6
2010013100 0
2010013106 0
2010013112 0
2010013118 0
2010020100 0
2010020106 0
2010020112 1
2010020118 4
2010020200 0
2010020206 0
2010020212 0
2010020218 5
2010020300 1
2010020306 1
2010020312 2
2010020318 12
2010020400 2
2010020406 0
2010020412 0
2010020418 2
2010020500 0
2010020506 0
2010020512 4
2010020518 3
2010020600 2
2010020606 0
2010020612 0
2010020618 0
2010020700 0
2010020706 0
2010020712 0
2010020718 0
2010020800 0
2010020806 0
2010020812 0
2010020818 0
2010020900 0
2010020906 0
2010020912 0
2010020918 0
2010021000 0
2010021006 0
2010021012 0
2010021018 1
2010021100 0
2010021106 0
2010021112 0
2010021118 0
2010021200 0
2010021206 0
2010021212 1
2010021218 0
2010021300 0
2010021306 0
2010021312 0
2010021318 2
2010021400 0
2010021406 0
2010021412 1
2010021418 0
2010021500 0
2010021506 0
2010021512 0
2010021518 3
2010021600 0
2010021606 0
2010021612 1
2010021618 2
2010021700 2
2010021706 0
2010021712 0
2010021718 3
2010021800 0
2010021806 0
2010021812 1
2010021818 0
2010021900 0
2010021906 0
2010021912 0
2010021918 3
2010022000 1
2010022006 0
2010022012 0
2010022018 0
2010022100 0
2010022106 0
2010022112 1
2010022118 5
2010022200 1
2010022206 0
2010022212 0
2010022218 0
2010022300 0
2010022306 0
2010022312 1
2010022318 0
2010022400 2
2010022406 0
2010022412 0
2010022418 1
2010022500 1
2010022506 0
2010022512 1
2010022518 0
2010022600 2
2010022606 0
2010022612 0
2010022618 4
2010022700 0
2010022706 0
2010022712 0
2010022718 0
2010022800 0
2010022806 0
2010022812 0
2010022818 1
2010030100 1
2010030106 0
2010030112 0
2010030118 0
2010030200 0
2010030206 0
2010030212 0
2010030218 0
2010030300 0
2010030306 0
2010030312 0
2010030318 0
2010030400 0
2010030406 0
2010030412 0
2010030418 0
2010030500 0
2010030506 0
2010030512 0
2010030518 0
2010030600 0
2010030606 0
2010030612 0
2010030618 0
2010030700 0
2010030706 0
2010030712 0
2010030718 0
2010030800 0
2010030806 0
2010030812 0
2010030818 0
2010030900 0
2010030906 0
2010030912 0
2010030918 0
2010031000 0
2010031006 0
2010031012 0
2010031018 0
2010031100 0
2010031106 0
2010031112 0
2010031118 0
2010031200 0
2010031206 0
2010031212 0
2010031218 0
2010031300 0
2010031306 0
2010031312 0
2010031318 0
2010031400 0
2010031406 0
2010031412 1
2010031418 2
2010031500 0
2010031506 0
2010031512 0
2010031518 2
2010031600 0
2010031606 1
2010031612 3
2010031618 0
2010031700 2
2010031706 0
2010031712 0
2010031718 2
2010031800 0
2010031806 0
2010031812 0
2010031818 0
2010031900 0
2010031906 0
2010031912 0
2010031918 1
2010032000 0
2010032006 0
2010032012 0
2010032018 0
2010032100 0
2010032106 1
2010032112 1
2010032118 1
2010032200 0
2010032206 0
2010032212 0
2010032218 0
2010032300 0
2010032306 0
2010032312 0
2010032318 0
2010032400 0
2010032406 0
2010032412 0
2010032418 0
2010032500 0
2010032506 0
2010032512 1
2010032518 1
2010032600 0
2010032606 0
2010032612 0
2010032618 0
2010032700 0
2010032706 0
2010032712 0
2010032718 0
2010032800 2
2010032806 0
2010032812 0
2010032818 0
2010032900 0
2010032906 0
2010032912 0
2010032918 0
2010033000 0
2010033006 0
2010033012 0
2010033018 4
2010033100 0
2010033106 0
2010033112 0
2010033118 0
2010040100 0
2010040106 0
2010040112 0
2010040118 0
2010040200 0
2010040206 0
2010040212 0
2010040218 0
2010040300 0
2010040306 0
2010040312 0
2010040318 0
2010040400 0
2010040406 0
2010040412 0
2010040418 1
2010040500 0
2010040506 0
