#MES TEMP PREC UM10 UM2M FOGO
200502 295.61245 7.856513255e-05 0.354738908333 0.3608778 0.225
200503 295.464366667 6.61264587583e-05 0.352557966667 0.3614896 0.441666666667
200504 295.163666667 1.92208522842e-05 0.28416485 0.29790745 0.458333333333
200505 294.601925 4.79242082833e-06 0.233902475 0.231786058333 0.558333333333
200506 293.592258333 1.2552424375e-06 0.195516733333 0.181472166667 0.925
200507 293.483066667 9.39405005833e-07 0.163200991667 0.153706066667 2.35833333333
200508 295.4475 2.55335774583e-06 0.152717541667 0.139779558333 5.14166666667
200509 297.840733333 2.21773848083e-06 0.148265216667 0.135992033333 15.6333333333
200510 298.858425 5.359666435e-06 0.163599808333 0.149771266667 51.8333333333
200510 296.561133333 4.4606196105e-05 0.264219266667 0.209836625 3.6
200511 295.691841667 6.40799786583e-05 0.323884083333 0.308133166667 0.866666666667
200512 295.977175 2.18322420708e-05 0.298850066667 0.321900033333 0.7
200601 296.7956 5.58585636383e-05 0.319226041667 0.320558516667 0.7
200602 295.786991667 7.29786339717e-05 0.345959475 0.339840366667 0.125
200603 294.653341667 4.37908065458e-05 0.326648866667 0.321611091667 0.208333333333
200604 293.658966667 1.01382019983e-05 0.252945525 0.25225635 0.766666666667
200605 292.411666667 8.678359225e-07 0.195709341667 0.192679658333 0.758333333333
200606 292.155033333 9.88253233333e-07 0.167115483333 0.159990833333 2.25
200607 295.163275 1.36801086417e-06 0.148497758333 0.1422558 5.925
200608 296.894366667 6.23328766667e-06 0.1555323 0.135978316667 15.425
200609 297.041933333 2.73666953167e-05 0.222781875 0.1515986 7.49166666667
200610 296.124983333 8.16671294242e-05 0.30847145 0.228914858333 1.86666666667
200611 296.116316667 6.42817505683e-05 0.332359141667 0.320202225 0.575
200612 296.639525 6.14211890342e-05 0.33190875 0.342930491667 0.508333333333
200701 295.890725 8.79804127025e-05 0.355248041667 0.347421333333 0.141666666667
200702 295.172541667 3.24532252517e-05 0.320715816667 0.344109991667 0.591666666667
200703 295.470766667 2.24107637333e-05 0.289101325 0.2997249 0.466666666667
200704 294.986275 3.2427498775e-06 0.235034833333 0.242167383333 1.33333333333
200705 293.708 3.48879164167e-06 0.20254455 0.188348025 1.89166666667
200706 293.691041667 5.136912825e-07 0.167279108333 0.157379416667 3.09166666667
200707 293.556416667 2.52172492083e-06 0.160228091667 0.141682058333 9.74166666667
200708 295.733058333 1.27684439667e-06 0.150407208333 0.13556685 31.0916666667
200709 297.369458333 4.16734771417e-06 0.168436458333 0.143482025 44.0166666667
200710 298.325116667 2.15554926983e-05 0.235246458333 0.184518583333 30.8083333333
200711 295.662058333 0.000117423150949 0.34928385 0.29993875 2.0
200712 295.388983333 5.07803397258e-05 0.331910775 0.350935466667 0.925
200801 295.481008333 8.61158726633e-05 0.354747975 0.355176308333 0.383333333333
200802 295.503458333 9.31457885075e-05 0.365675883333 0.365157508333 0.15
200803 294.751241667 6.28361569658e-05 0.350208916667 0.350596425 0.183333333333
200804 294.200625 2.55122395117e-05 0.295017291667 0.299416841667 0.5
200805 293.81415 1.69275648167e-06 0.214239316667 0.22180765 0.791666666667
200806 292.4122 2.1385989375e-06 0.181717975 0.174795883333 0.55
