YYYYMMDDHH air2m
2000051500 289.096
2000051506 291.869
2000051512 300.348
2000051518 289.735
2000051600 286.775
2000051606 291.68
2000051612 303.622
2000051618 291.023
2000051700 287.804
2000051706 293.913
2000051712 303.673
2000051718 290.943
2000051800 289.403
2000051806 293.92
2000051812 303.843
2000051818 293.575
2000051900 291.048
2000051906 294.929
2000051912 302.67
2000051918 292.87
2000052000 290.912
2000052006 294.167
2000052012 301.368
2000052018 293.508
2000052100 292.029
2000052106 293.432
2000052112 299.01
2000052118 293.184
2000052200 290.517
2000052206 292.128
2000052212 298.597
2000052218 292.154
2000052300 288.551
2000052306 290.082
2000052312 298.463
2000052318 289.585
2000052400 286.006
2000052406 289.203
2000052412 298.353
2000052418 289.939
2000052500 287.237
2000052506 289.957
2000052512 298.749
2000052518 290.531
2000052600 289.004
2000052606 291.781
2000052612 301.126
2000052618 292.424
2000052700 289.893
2000052706 293.926
2000052712 303.299
2000052718 292.693
2000052800 288.563
2000052806 293.918
2000052812 304.406
2000052818 292.526
2000052900 289.633
2000052906 295.114
2000052912 303.961
2000052918 292.946
2000053000 291.791
2000053006 294.212
2000053012 302.077
2000053018 291.714
2000053100 288.64
2000053106 293.236
2000053112 305.382
2000053118 294.632
2000060100 291.513
2000060106 295.278
2000060112 306.039
2000060118 295.266
2000060200 293.079
2000060206 295.1
2000060212 304.043
2000060218 294.807
2000060300 291.437
2000060306 292.614
2000060312 301.474
2000060318 293.451
2000060400 289.972
2000060406 291.052
2000060412 298.451
2000060418 291.329
2000060500 288.149
2000060506 289.781
2000060512 297.572
2000060518 290.429
2000060600 288.104
2000060606 289.935
2000060612 298.373
2000060618 291.362
2000060700 288.738
2000060706 290.993
2000060712 298.506
2000060718 291.598
2000060800 289.382
2000060806 291.736
2000060812 299.736
2000060818 291.751
2000060900 288.965
2000060906 291.071
2000060912 300.415
2000060918 291.373
2000061000 287.966
2000061006 291.478
2000061012 300.726
2000061018 291.504
2000061100 288.617
2000061106 291.272
2000061112 299.939
2000061118 291.564
2000061200 289.587
2000061206 292.45
2000061212 300.494
2000061218 293.525
2000061300 290.149
2000061306 292.966
2000061312 302.025
2000061318 293.722
2000061400 290.49
2000061406 292.22
2000061412 301.697
2000061418 293.052
2000061500 288.851
2000061506 290.648
2000061512 300.439
2000061518 292.461
2000061600 289.162
2000061606 290.96
2000061612 300.539
2000061618 292.097
2000061700 288.075
2000061706 291.012
2000061712 300.517
2000061718 292.052
2000061800 289.163
2000061806 291.89
2000061812 301.007
2000061818 292.691
2000061900 289.596
2000061906 292.113
2000061912 302.128
2000061918 292.008
2000062000 289.327
2000062006 292.513
2000062012 302.264
2000062018 292.922
2000062100 291.573
2000062106 294.737
2000062112 304.369
2000062118 294.282
2000062200 291.285
2000062206 293.049
2000062212 301.311
2000062218 293.606
2000062300 289.916
2000062306 290.266
2000062312 298.526
2000062318 290.642
2000062400 286.2
2000062406 288.226
2000062412 299.395
2000062418 288.437
2000062500 284.616
2000062506 287.841
2000062512 300.803
2000062518 288.089
2000062600 285.034
2000062606 288.895
2000062612 302.144
2000062618 289.794
2000062700 284.788
2000062706 289.493
2000062712 302.728
2000062718 290.752
2000062800 287.697
2000062806 290.407
2000062812 300.394
2000062818 291.921
2000062900 288.863
2000062906 290.85
2000062912 300.58
2000062918 292.296
2000063000 288.482
2000063006 291.327
2000063012 302.116
2000063018 290.395
2000070100 286.9
2000070106 291.659
2000070112 301.211
2000070118 293.481
2000070200 289.592
2000070206 290.901
2000070212 300.303
2000070218 291.359
2000070300 287.158
2000070306 291.079
