#YYYYMMDDHH,air2m,prate,soilw0-10cm,soilw10-200cm,FOGO
2000031012,297056,0.000195966,0.377026,0.361058,0
2000031018,294213,0.000143393,0.384087,0.361837,0
2000031100,292535,1.11039e-05,0.37555,0.36217,0
2000031106,294081,1.11127e-07,0.367764,0.362393,0
2000031112,297669,9.98281e-05,0.363365,0.362393,0
2000031118,294569,0.000191196,0.379225,0.362617,0
2000031200,293236,1.57747e-05,0.373979,0.362727,0
2000031206,295403,2.47737e-05,0.369769,0.362951,0
2000031212,296933,0.000291979,0.390768,0.363395,0
2000031218,294822,0.000157096,0.392509,0.364283,0
2000031300,293723,8.0678e-06,0.380077,0.365059,0
2000031306,295754,2.55107e-05,0.374179,0.365169,0
2000031312,297844,0.000230366,0.385073,0.365388,0
2000031318,295045,0.000199913,0.390544,0.366491,0
2000031400,294199,4.00857e-05,0.381337,0.367155,0
2000031406,295443,9.76418e-05,0.38166,0.367929,0
2000031412,297632,0.000293848,0.398108,0.368371,0
2000031418,294722,0.000169269,0.398179,0.369811,0
2000031500,293.51,4.7757e-05,0.389449,0.370256,0
2000031506,295077,3.9451e-05,0.381106,0.370701,0
2000031512,297579,0.000282137,0.397324,0.371036,0
2000031518,294767,9.51733e-05,0.390297,0.371815,0
2000031600,293632,7.16009e-06,0.379867,0.372038,0
2000031606,295356,8.6666e-06,0.372537,0.372038,0
2000031612,297499,0.000268103,0.387418,0.372038,0
2000031618,294455,7.36616e-05,0.380861,0.372593,0
2000031700,292654,1.78436e-05,0.375858,0.372593,0
2000031706,294743,2.16385e-05,0.371319,0.372594,0
2000031712,298769,7.05898e-05,0.360064,0.37204,0
2000031718,294276,7.94974e-05,0.362281,0.371927,0
2000031800,292.82,2.69186e-06,0.358293,0.371595,0
2000031806,294945,5.58218e-06,0.35397,0.371373,0
2000031812,298848,0.000134524,0.355046,0.370706,0
2000031818,294577,5.73425e-05,0.354481,0.370373,0
2000031900,293.13,1.8374e-05,0.352605,0.370373,0
2000031906,294978,5.5008e-07,0.347719,0.37004,0
2000031912,299793,9.4357e-05,0.344622,0.368928,0
2000031918,294732,7.46983e-05,0.34684,0.368597,0
2000032000,293041,3.59075e-05,0.348311,0.368597,0
2000032006,294977,1.56616e-05,0.346211,0.368043,0
2000032012,297.29,0.000270668,0.363255,0.367822,0
2000032018,293978,7.35836e-05,0.365269,0.3676,0
