YYYYMMDDHH prate
2011010618 3.83365e-05
2011010700 8.15848e-06
2011010706 4.66135e-06
2011010712 6.49091e-05
2011010718 1.61973e-05
2011010800 6.24914e-06
2011010806 3.0969e-05
2011010812 8.02291e-05
2011010818 6.64302e-05
2011010900 4.17786e-05
2011010906 4.44546e-05
2011010912 0.000100459
2011010918 2.47877e-05
2011011000 2.93198e-05
2011011006 4.52985e-05
2011011012 0.000100808
2011011018 7.5174e-05
2011011100 3.21266e-05
2011011106 6.21553e-05
2011011112 0.000238471
2011011118 0.000214493
2011011200 3.74826e-05
2011011206 0.00010787
2011011212 0.000317095
2011011218 0.000182825
2011011300 3.99007e-05
2011011306 9.38897e-05
2011011312 8.85032e-05
2011011318 7.85612e-05
2011011400 0.0
2011011406 5.58661e-07
2011011412 0.000132868
2011011418 7.70331e-05
2011011500 7.15238e-06
2011011506 1.69796e-05
2011011512 0.000228773
2011011518 9.76308e-05
2011011600 1.11127e-07
2011011606 1.6116e-05
2011011612 0.000146183
2011011618 4.71072e-06
2011011700 1.90672e-06
2011011706 2.95093e-05
2011011712 0.000161349
2011011718 6.28227e-05
2011011800 0.000101685
2011011806 4.18723e-05
2011011812 0.000235991
2011011818 1.49772e-05
2011011900 9.09954e-05
2011011906 9.44146e-05
2011011912 0.000112165
2011011918 4.14859e-05
2011012000 1.20029e-05
2011012006 1.86825e-05
2011012012 0.00013763
2011012018 0.000110387
2011012100 4.68861e-05
2011012106 7.89117e-05
2011012112 0.000306952
2011012118 7.65187e-05
2011012200 1.05834e-05
2011012206 9.20489e-06
2011012212 0.000233544
2011012218 2.20425e-05
2011012300 0.0
2011012306 2.67805e-06
2011012312 0.00019613
2011012318 5.42232e-05
2011012400 4.47586e-07
2011012406 2.33123e-06
2011012412 0.000103216
2011012418 4.77381e-05
2011012500 0.0
2011012506 1.12552e-05
2011012512 0.000201637
2011012518 8.80719e-05
2011012600 0.0
2011012606 1.49127e-05
2011012612 0.000278774
2011012618 5.50064e-05
2011012700 0.0
2011012706 7.42463e-06
2011012712 0.000337471
2011012718 4.19744e-05
2011012800 0.0
2011012806 1.09907e-05
2011012812 0.000254352
2011012818 3.43676e-05
2011012900 0.0
2011012906 4.10305e-06
2011012912 0.000284872
2011012918 7.97566e-05
2011013000 7.70122e-07
2011013006 1.6696e-06
2011013012 0.000157143
2011013018 0.000132309
2011013100 0.0
2011013106 6.68709e-07
2011013112 0.000229658
2011013118 5.13367e-05
2011020100 3.20879e-06
2011020106 6.46042e-06
2011020112 0.000265936
2011020118 9.23109e-05
2011020200 2.70712e-05
2011020206 3.34399e-05
2011020212 0.000263565
2011020218 9.25041e-05
2011020300 5.10172e-05
2011020306 2.88817e-05
2011020312 0.000281253
2011020318 6.91537e-05
2011020400 1.44998e-06
2011020406 9.40151e-06
2011020412 0.000224974
2011020418 5.6276e-05
2011020500 0.0
2011020506 1.76902e-06
2011020512 0.0002129
2011020518 4.32944e-05
2011020600 0.0
2011020606 3.7646e-06
2011020612 0.000194206
2011020618 2.29461e-05
2011020700 1.6824e-06
2011020706 5.64766e-06
2011020712 0.000232379
2011020718 5.47657e-05
2011020800 0.0
2011020806 8.89954e-07
2011020812 0.000259777
2011020818 4.16898e-05
2011020900 1.12136e-07
2011020906 1.28055e-05
2011020912 0.000310637
2011020918 3.97044e-05
2011021000 3.33258e-07
2011021006 4.36178e-06
2011021012 0.000240911
2011021018 2.23747e-05
2011021100 1.12136e-07
2011021106 5.54258e-07
2011021112 0.000218683
2011021118 6.74802e-05
2011021200 0.0
2011021206 5.30741e-06
2011021212 0.000243746
2011021218 9.96817e-05
2011021300 3.35976e-06
2011021306 7.17306e-06
2011021312 0.000189899
2011021318 0.000105378
2011021400 2.64713e-05
2011021406 5.44881e-05
2011021412 0.000303288
2011021418 0.00012068
2011021500 2.53849e-05
2011021506 5.10912e-06
2011021512 0.000240021
2011021518 0.000104483
2011021600 2.54408e-05
2011021606 4.66263e-06
2011021612 0.000264137
2011021618 9.64192e-05
2011021700 7.69364e-06
2011021706 1.93278e-05
2011021712 0.000198871
2011021718 0.000117817
2011021800 3.90208e-06
2011021806 1.00204e-06
2011021812 0.000202227
2011021818 4.64814e-05
2011021900 2.5746e-06
2011021906 4.21704e-06
2011021912 0.000213347
2011021918 4.79805e-05
2011022000 0.0
2011022006 1.7669e-06
2011022012 0.000194066
2011022018 3.58343e-05
2011022100 0.0
2011022106 1.87815e-06
2011022112 0.000132083
2011022118 9.97184e-05
2011022200 0.0
2011022206 1.09995e-07
2011022212 0.000204363
2011022218 4.43703e-05
2011022300 1.89415e-05
2011022306 3.10312e-06
2011022312 0.000228275
2011022318 3.54956e-05
2011022400 4.38361e-05
2011022406 4.50286e-05
2011022412 0.000346342
2011022418 3.16594e-05
2011022500 4.88128e-05
2011022506 9.76976e-06
2011022512 0.000296595
2011022518 5.4524e-05
2011022600 1.79456e-06
2011022606 1.26489e-05
2011022612 0.000252389
2011022618 5.7922e-05
2011022700 3.60439e-05
2011022706 3.21266e-05
2011022712 0.000287623
2011022718 8.53838e-05
2011022800 1.6673e-05
2011022806 1.57708e-05
2011022812 0.000239852
2011022818 6.2037e-05
2011030100 3.49074e-05
2011030106 1.38197e-05
2011030112 0.000263357
2011030118 6.34003e-05
2011030200 6.03227e-05
2011030206 1.86003e-05
2011030212 0.000261561
2011030218 1.74262e-05
2011030300 8.77325e-06
2011030306 4.41165e-07
2011030312 0.000166963
2011030318 3.44746e-05
2011030400 8.90114e-06
2011030406 2.09249e-06
2011030412 0.000153292
2011030418 9.85376e-05
2011030500 9.32818e-06
2011030506 6.70752e-07
2011030512 0.000157898
2011030518 0.000112475
2011030600 2.31037e-06
2011030606 1.32244e-06
2011030612 5.30502e-05
2011030618 5.70882e-05
2011030700 7.46245e-06
2011030706 6.16375e-06
2011030712 0.000184305
2011030718 0.000130976
2011030800 5.81307e-06
2011030806 1.15364e-05
2011030812 0.000233404
2011030818 9.64296e-05
2011030900 8.86883e-07
2011030906 1.55958e-06
2011030912 0.000192289
2011030918 0.000135547
2011031000 1.42147e-05
2011031006 2.9129e-05
2011031012 0.000382055
2011031018 7.38626e-05
2011031100 7.95535e-06
2011031106 1.06057e-05
2011031112 0.000301504
2011031118 4.69772e-05
2011031200 1.65777e-05
2011031206 9.46828e-06
2011031212 0.000346653
2011031218 8.25708e-05
2011031300 9.28692e-06
2011031306 1.54515e-05
2011031312 0.000357733
2011031318 9.22966e-05
2011031400 2.24318e-06
2011031406 5.45788e-06
2011031412 0.000258441
2011031418 0.000117201
2011031500 1.09995e-07
2011031506 1.78595e-06
2011031512 0.000269901
2011031518 8.87205e-05
2011031600 1.33021e-06
2011031606 6.41106e-06
2011031612 0.000364355
2011031618 8.75596e-05
2011031700 5.13861e-05
2011031706 4.86601e-05
2011031712 0.000330281
2011031718 0.000140736
2011031800 0.000147146
2011031806 0.000163579
2011031812 0.000166047
2011031818 9.18816e-05
2011031900 2.89911e-05
2011031906 7.06193e-05
2011031912 0.000153202
2011031918 0.000151363
2011032000 4.81198e-05
2011032006 9.67368e-05
2011032012 0.000146861
2011032018 9.39142e-05
2011032100 3.56754e-05
2011032106 7.04379e-05
2011032112 5.67273e-05
2011032118 4.91283e-05
2011032200 2.04866e-05
2011032206 2.11699e-05
2011032212 0.000107704
2011032218 4.04803e-05
2011032300 3.98722e-05
2011032306 8.36752e-06
2011032312 0.0002127
2011032318 6.30904e-05
2011032400 1.88907e-05
2011032406 1.5535e-06
2011032412 0.000172919
2011032418 2.86771e-05
2011032500 0.0
2011032506 4.43279e-07
2011032512 0.000194418
2011032518 3.73836e-05
2011032600 0.0
2011032606 2.23263e-07
2011032612 0.000234544
2011032618 2.50021e-05
2011032700 1.12136e-07
2011032706 4.45394e-07
2011032712 0.000224084
2011032718 3.75488e-05
2011032800 1.43025e-06
2011032806 3.70129e-06
2011032812 0.000148161
2011032818 1.0981e-05
2011032900 7.15238e-06
2011032906 2.90252e-06
2011032912 5.96413e-05
2011032918 7.28938e-06
2011033000 5.9839e-06
2011033006 2.19088e-05
2011033012 0.000106608
2011033018 4.99036e-05
2011033100 1.57051e-05
2011033106 3.23087e-05
2011033112 0.0001833
2011033118 3.28564e-05
2011040100 5.48969e-05
2011040106 3.07297e-05
2011040112 0.00015845
2011040118 0.000107802
2011040200 3.29368e-05
2011040206 5.65658e-05
2011040212 0.000272024
2011040218 5.44668e-05
2011040300 2.62332e-05
2011040306 8.33614e-05
2011040312 0.000129162
2011040318 2.80157e-05
2011040400 1.43342e-06
2011040406 3.53364e-05
2011040412 0.00016301
2011040418 0.000100749
2011040500 0.0
2011040506 1.22539e-06
2011040512 0.000151498
2011040518 4.77361e-05
2011040600 7.59966e-06
2011040606 1.52776e-05
2011040612 0.000233843
2011040618 9.6345e-05
2011040700 2.03724e-05
2011040706 2.87122e-05
2011040712 0.000202452
2011040718 0.000108867
2011040800 6.66662e-05
2011040806 9.03525e-06
2011040812 4.93644e-05
2011040818 7.70943e-05
2011040900 8.93311e-06
2011040906 1.43797e-06
2011040912 0.000107815
2011040918 0.000127759
2011041000 2.20017e-07
2011041006 1.10353e-06
2011041012 8.46546e-05
2011041018 5.68416e-05
2011041100 0.0
2011041106 4.40059e-07
2011041112 4.96769e-05
2011041118 1.36594e-05
2011041200 1.11127e-07
2011041206 8.95076e-07
2011041212 5.79107e-05
2011041218 2.81538e-05
2011041300 1.54349e-06
2011041306 1.22118e-06
2011041312 9.56985e-05
2011041318 2.25045e-05
2011041400 0.0
2011041406 4.42148e-07
2011041412 1.09995e-07
2011041418 2.42039e-06
2011041500 1.11127e-07
2011041506 2.22254e-07
2011041512 5.72102e-06
2011041518 8.39147e-06
2011041600 1.79252e-06
2011041606 2.22131e-07
2011041612 4.04142e-05
2011041618 4.17605e-05
2011041700 0.0
2011041706 1.12136e-07
2011041712 8.85347e-05
2011041718 2.97858e-05
2011041800 1.88022e-06
2011041806 3.79138e-06
2011041812 8.29661e-05
2011041818 4.84395e-05
2011041900 7.35218e-06
2011041906 2.21543e-06
2011041912 5.23073e-05
2011041918 8.29475e-05
2011042000 6.11168e-05
2011042006 5.91194e-06
2011042012 1.99956e-05
2011042018 2.66934e-05
2011042100 1.45943e-05
2011042106 7.19474e-06
2011042112 5.18029e-05
2011042118 4.35443e-05
2011042200 1.24583e-05
2011042206 0.0
2011042212 1.10042e-05
2011042218 5.00891e-06
2011042300 5.59748e-07
2011042306 1.00623e-06
2011042312 6.05106e-06
2011042318 1.1332e-05
2011042400 2.23752e-05
2011042406 5.45946e-06
2011042412 3.30171e-06
2011042418 9.47187e-06
2011042500 1.07235e-05
2011042506 1.58699e-05
2011042512 2.65628e-06
2011042518 2.0947e-06
2011042600 1.67171e-05
2011042606 8.91935e-06
2011042612 5.01558e-05
2011042618 5.49747e-05
2011042700 4.81004e-06
2011042706 4.48595e-07
2011042712 1.5331e-05
2011042718 2.7223e-05
2011042800 1.77099e-06
2011042806 7.72334e-07
2011042812 4.94098e-05
2011042818 2.91355e-05
2011042900 1.84974e-05
2011042906 4.42173e-07
2011042912 9.96999e-05
2011042918 4.6569e-05
2011043000 5.60072e-05
2011043006 2.40758e-05
2011043012 6.52167e-05
2011043018 6.95185e-05
2011050100 1.90714e-05
2011050106 6.37695e-06
2011050112 3.65014e-05
2011050118 1.3704e-05
2011050200 6.72945e-07
2011050206 2.10669e-06
2011050212 1.77375e-05
2011050218 0.0
2011050300 2.24298e-07
2011050306 9.18499e-06
2011050312 1.43116e-05
2011050318 4.15315e-05
2011050400 2.91958e-05
2011050406 1.07578e-05
2011050412 1.32112e-05
2011050418 2.65956e-05
2011050500 4.00297e-05
2011050506 6.74937e-06
2011050512 1.22436e-05
2011050518 8.80909e-06
2011050600 2.94521e-05
2011050606 4.32403e-06
2011050612 6.62616e-06
2011050618 1.75894e-05
2011050700 1.35115e-05
2011050706 1.09995e-07
2011050712 1.09995e-07
2011050718 1.09995e-07
2011050800 1.09995e-07
2011050806 0.0
2011050812 0.0
2011050818 2.20017e-07
2011050900 3.30012e-07
2011050906 1.09995e-07
2011050912 0.0
2011050918 0.0
2011051000 0.0
2011051006 0.0
2011051012 0.0
2011051018 0.0
2011051100 0.0
2011051106 1.11127e-07
2011051112 0.0
2011051118 0.0
2011051200 8.3942e-06
2011051206 4.47586e-07
2011051212 1.12136e-07
2011051218 0.0
2011051300 6.82123e-06
2011051306 1.12136e-07
2011051312 2.20017e-07
2011051318 3.63062e-06
2011051400 0.0
2011051406 0.0
2011051412 3.30061e-06
2011051418 3.30061e-06
2011051500 0.0
2011051506 0.0
2011051512 0.0
