YYYYMMDDHH soilw10-200cm
2000040606 0.336699
2000040612 0.335922
2000040618 0.335807
2000040700 0.335476
2000040706 0.335029
2000040712 0.334583
2000040718 0.334028
2000040800 0.333806
2000040806 0.33336
2000040812 0.333027
2000040818 0.332806
2000040900 0.332251
2000040906 0.332028
2000040912 0.331474
2000040918 0.331141
2000041000 0.330808
2000041006 0.330362
2000041012 0.32992
2000041018 0.329583
2000041100 0.32925
2000041106 0.328806
2000041112 0.328359
2000041118 0.327916
2000041200 0.32747
2000041206 0.326916
2000041212 0.326359
2000041218 0.325804
2000041300 0.32558
2000041306 0.325026
2000041312 0.324245
2000041318 0.3238
2000041400 0.323465
2000041406 0.323245
2000041412 0.322799
2000041418 0.322907
2000041500 0.322794
2000041506 0.322573
2000041512 0.322128
2000041518 0.321792
2000041600 0.321569
2000041606 0.321458
2000041612 0.320458
2000041618 0.320013
2000041700 0.319678
2000041706 0.319123
2000041712 0.318233
2000041718 0.318011
2000041800 0.317236
2000041806 0.31679
2000041812 0.315568
2000041818 0.315014
2000041900 0.314346
2000041906 0.314014
2000041912 0.312683
2000041918 0.312017
2000042000 0.311461
2000042006 0.310906
2000042012 0.309684
2000042018 0.308905
2000042100 0.308684
2000042106 0.30813
2000042112 0.30702
2000042118 0.306242
2000042200 0.306022
2000042206 0.305577
2000042212 0.305245
2000042218 0.305138
2000042300 0.304697
2000042306 0.304588
2000042312 0.303813
2000042318 0.303372
2000042400 0.303043
2000042406 0.302822
2000042412 0.301605
2000042418 0.301161
2000042500 0.300717
2000042506 0.300386
2000042512 0.298944
2000042518 0.298165
2000042600 0.297832
2000042606 0.297277
2000042612 0.295946
2000042618 0.295169
2000042700 0.294946
2000042706 0.294279
2000042712 0.292948
2000042718 0.292169
2000042800 0.291836
2000042806 0.291281
2000042812 0.290059
2000042818 0.289171
2000042900 0.289059
2000042906 0.288391
2000042912 0.287171
2000042918 0.286502
2000043000 0.285948
2000043006 0.285615
2000043012 0.284501
2000043018 0.283726
2000050100 0.283391
2000050106 0.282724
2000050112 0.281726
2000050118 0.281057
2000050200 0.280612
2000050206 0.280057
2000050212 0.279167
2000050218 0.27839
2000050300 0.277835
2000050306 0.277502
2000050312 0.276278
2000050318 0.275832
2000050400 0.274944
2000050406 0.274722
2000050412 0.273497
2000050418 0.272832
2000050500 0.272387
2000050506 0.272056
2000050512 0.270609
2000050518 0.270052
2000050600 0.269499
2000050606 0.269053
2000050612 0.26783
2000050618 0.267163
2000050700 0.266719
2000050706 0.266274
2000050712 0.26494
2000050718 0.264386
2000050800 0.263718
2000050806 0.263164
2000050812 0.261828
2000050818 0.26094
2000050900 0.260497
2000050906 0.260052
2000050912 0.25894
2000050918 0.258052
2000051000 0.257719
2000051006 0.257274
2000051012 0.256164
2000051018 0.255385
2000051100 0.254828
2000051106 0.254495
2000051112 0.253384
2000051118 0.252607
2000051200 0.25205
2000051206 0.251494
2000051212 0.250494
2000051218 0.249606
2000051300 0.249272
2000051306 0.248715
2000051312 0.247605
2000051318 0.246827
2000051400 0.246494
2000051406 0.246048
2000051412 0.244937
2000051418 0.244491
2000051500 0.243938
2000051506 0.243492
2000051512 0.242382
2000051518 0.242047
2000051600 0.241492
2000051606 0.241048
2000051612 0.239936
2000051618 0.239494
2000051700 0.239158
2000051706 0.238603
2000051712 0.237715
2000051718 0.236825
2000051800 0.236492
2000051806 0.236158
2000051812 0.234827
2000051818 0.23427
2000051900 0.233937
2000051906 0.23327
2000051912 0.23227
2000051918 0.231714
2000052000 0.231492
2000052006 0.230825
2000052012 0.230047
2000052018 0.229494
2000052100 0.229158
2000052106 0.228604
2000052112 0.227937
2000052118 0.22727
2000052200 0.227047
2000052206 0.226492
2000052212 0.225714
2000052218 0.224825
2000052300 0.224825
2000052306 0.224047
2000052312 0.22338
2000052318 0.222714
2000052400 0.222378
2000052406 0.222047
2000052412 0.221269
2000052418 0.220491
2000052500 0.220378
2000052506 0.219714
2000052512 0.219045
2000052518 0.218602
2000052600 0.218268
2000052606 0.217935
2000052612 0.217157
2000052618 0.216489
2000052700 0.216378
2000052706 0.215935
2000052712 0.215047
2000052718 0.214935
2000052800 0.21449
2000052806 0.214268
2000052812 0.21327
2000052818 0.212714
2000052900 0.212494
2000052906 0.212158
2000052912 0.211158
2000052918 0.210826
2000053000 0.21038
2000053006 0.21027
2000053012 0.209382
2000053018 0.209047
2000053100 0.208604
2000053106 0.208492
2000053112 0.207603
2000053118 0.207049
2000060100 0.206603
2000060106 0.206382
2000060112 0.205494
2000060118 0.20516
2000060200 0.204715
2000060206 0.204605
2000060212 0.203715
2000060218 0.202937
2000060300 0.202825
2000060306 0.202383
2000060312 0.201605
2000060318 0.201158
2000060400 0.200937
2000060406 0.200716
2000060412 0.199938
2000060418 0.199382
2000060500 0.19916
2000060506 0.198937
2000060512 0.198272
2000060518 0.197716
2000060600 0.197494
2000060606 0.197272
2000060612 0.196605
2000060618 0.196384
2000060700 0.19616
2000060706 0.195938
2000060712 0.195383
2000060718 0.194938
2000060800 0.194717
2000060806 0.194384
2000060812 0.19405
2000060818 0.193607
2000060900 0.193384
2000060906 0.19305
2000060912 0.192384
2000060918 0.192162
2000061000 0.19194
2000061006 0.191607
2000061012 0.191053
2000061018 0.190495
2000061100 0.190385
2000061106 0.190054
2000061112 0.189608
2000061118 0.189387
2000061200 0.189164
2000061206 0.18872
2000061212 0.188387
2000061218 0.187944
2000061300 0.187833
2000061306 0.1875
2000061312 0.186832
2000061318 0.1865
2000061400 0.1865
2000061406 0.185944
2000061412 0.185501
2000061418 0.184944
2000061500 0.184724
2000061506 0.184612
2000061512 0.183947
2000061518 0.183613
2000061600 0.18328
2000061606 0.183057
2000061612 0.182614
2000061618 0.182392
2000061700 0.182059
2000061706 0.181947
2000061712 0.181282
2000061718 0.180947
2000061800 0.180727
2000061806 0.180727
2000061812 0.179949
2000061818 0.179727
2000061900 0.179616
2000061906 0.179172
2000061912 0.17906
2000061918 0.178616
2000062000 0.178172
2000062006 0.178172
2000062012 0.177727
2000062018 0.177506
2000062100 0.177284
2000062106 0.17706
2000062112 0.176508
2000062118 0.176285
2000062200 0.175952
2000062206 0.175952
2000062212 0.175284
2000062218 0.175174
2000062300 0.175174
2000062306 0.174729
2000062312 0.174286
2000062318 0.174176
2000062400 0.173952
2000062406 0.173731
2000062412 0.173287
2000062418 0.172952
2000062500 0.172621
2000062506 0.17262
2000062512 0.172286
2000062518 0.172066
2000062600 0.171954
2000062606 0.171842
2000062612 0.171177
2000062618 0.171066
2000062700 0.170844
2000062706 0.170732
2000062712 0.170289
2000062718 0.170067
2000062800 0.169956
2000062806 0.169622
2000062812 0.169289
2000062818 0.169179
2000062900 0.168624
2000062906 0.168512
2000062912 0.168512
2000062918 0.16818
2000063000 0.167846
2000063006 0.167733
2000063012 0.167402
2000063018 0.167069
2000070100 0.167069
2000070106 0.166848
2000070112 0.166516
2000070118 0.165959
2000070200 0.165959
2000070206 0.16596
2000070212 0.165516
2000070218 0.165182
2000070300 0.165182
2000070306 0.164961
2000070312 0.164517
2000070318 0.164404
2000070400 0.164294
2000070406 0.164184
2000070412 0.16374
2000070418 0.163406
2000070500 0.163295
2000070506 0.163295
2000070512 0.162851
2000070518 0.162739
2000070600 0.162629
2000070606 0.162629
2000070612 0.162296
2000070618 0.162073
2000070700 0.161962
2000070706 0.161852
2000070712 0.161518
2000070718 0.161407
2000070800 0.161187
2000070806 0.161187
2000070812 0.160851
2000070818 0.160739
2000070900 0.160629
2000070906 0.160519
2000070912 0.160296
2000070918 0.159962
2000071000 0.159962
2000071006 0.159852
2000071012 0.159631
2000071018 0.159298
2000071100 0.159185
2000071106 0.159185
2000071112 0.159075
2000071118 0.158742
2000071200 0.158519
2000071206 0.158519
2000071212 0.158075
2000071218 0.157965
2000071300 0.157854
2000071306 0.157631
2000071312 0.157411
2000071318 0.157075
2000071400 0.157187
2000071406 0.157188
2000071412 0.156521
2000071418 0.156411
2000071500 0.156299
2000071506 0.156299
2000071512 0.155965
2000071518 0.155855
2000071600 0.155744
2000071606 0.155744
2000071612 0.155412
2000071618 0.155078
2000071700 0.155079
2000071706 0.155079
2000071712 0.154634
2000071718 0.154523
2000071800 0.154523
2000071806 0.154299
2000071812 0.153858
2000071818 0.153745
2000071900 0.153634
2000071906 0.153635
2000071912 0.153191
2000071918 0.153079
2000072000 0.153079
2000072006 0.153079
2000072012 0.152636
2000072018 0.152413
2000072100 0.152191
2000072106 0.152191
2000072112 0.151969
2000072118 0.151748
2000072200 0.151636
2000072206 0.151525
2000072212 0.151191
2000072218 0.151081
2000072300 0.150969
2000072306 0.150969
2000072312 0.150636
2000072318 0.150415
2000072400 0.150193
2000072406 0.150193
2000072412 0.149971
2000072418 0.149748
2000072500 0.149748
2000072506 0.149416
2000072512 0.149193
2000072518 0.149193
2000072600 0.149193
2000072606 0.149193
2000072612 0.148971
2000072618 0.148748
2000072700 0.148638
2000072706 0.148525
2000072712 0.148414
2000072718 0.148303
2000072800 0.148193
2000072806 0.148304
2000072812 0.147972
2000072818 0.14775
2000072900 0.147638
2000072906 0.147638
2000072912 0.147416
2000072918 0.147304
2000073000 0.147304
2000073006 0.147306
2000073012 0.146972
2000073018 0.146752
2000073100 0.146527
2000073106 0.146527
2000073112 0.146416
2000073118 0.146194
2000080100 0.146196
2000080106 0.146085
2000080112 0.145973
2000080118 0.145862
2000080200 0.145861
2000080206 0.145749
2000080212 0.145417
2000080218 0.145306
2000080300 0.145306
2000080306 0.145306
2000080312 0.145195
2000080318 0.145085
2000080400 0.145085
2000080406 0.144973
2000080412 0.144641
2000080418 0.144417
2000080500 0.144529
2000080506 0.144306
2000080512 0.144195
2000080518 0.144085
2000080600 0.144085
2000080606 0.144085
2000080612 0.143753
2000080618 0.143753
2000080700 0.143753
2000080706 0.143753
2000080712 0.143307
2000080718 0.143085
2000080800 0.143085
2000080806 0.143085
2000080812 0.142865
2000080818 0.142753
2000080900 0.142643
2000080906 0.142643
2000080912 0.142643
2000080918 0.142643
2000081000 0.142532
2000081006 0.14242
2000081012 0.142087
2000081018 0.141755
2000081100 0.141867
2000081106 0.141867
2000081112 0.141643
2000081118 0.141533
2000081200 0.141533
2000081206 0.141643
2000081212 0.141312
2000081218 0.141091
2000081300 0.14109
2000081306 0.140978
2000081312 0.140867
2000081318 0.140867
2000081400 0.140867
2000081406 0.140867
2000081412 0.140645
2000081418 0.140533
2000081500 0.140422
2000081506 0.140424
2000081512 0.140202
2000081518 0.140091
2000081600 0.140202
2000081606 0.140202
2000081612 0.139757
2000081618 0.139757
2000081700 0.139757
2000081706 0.139757
2000081712 0.139535
2000081718 0.139314
2000081800 0.139314
2000081806 0.139314
2000081812 0.139202
2000081818 0.138981
2000081900 0.139092
2000081906 0.139092
2000081912 0.138981
2000081918 0.138759
2000082000 0.138759
2000082006 0.138759
2000082012 0.138647
2000082018 0.138535
2000082100 0.138424
2000082106 0.138424
2000082112 0.138424
2000082118 0.138312
2000082200 0.138424
2000082206 0.138424
2000082212 0.138091
2000082218 0.138091
2000082300 0.138091
2000082306 0.138091
2000082312 0.137979
2000082318 0.137979
2000082400 0.137979
2000082406 0.137979
2000082412 0.137424
2000082418 0.137201
2000082500 0.137201
2000082506 0.137312
2000082512 0.137201
2000082518 0.137201
2000082600 0.137201
2000082606 0.137201
2000082612 0.137091
2000082618 0.136979
2000082700 0.136979
2000082706 0.137091
2000082712 0.136756
2000082718 0.136646
2000082800 0.136646
2000082806 0.136535
2000082812 0.1362
2000082818 0.136089
2000082900 0.136089
2000082906 0.1362
2000082912 0.136087
2000082918 0.135976
2000083000 0.136087
2000083006 0.136087
2000083012 0.136086
2000083018 0.136086
2000083100 0.136086
2000083106 0.136086
2000083112 0.136086
2000083118 0.135863
2000090100 0.135975
2000090106 0.135864
2000090112 0.135642
2000090118 0.135642
2000090200 0.135642
2000090206 0.135752
2000090212 0.135638
2000090218 0.135526
2000090300 0.135526
2000090306 0.135526
2000090312 0.135526
2000090318 0.135526
2000090400 0.135526
2000090406 0.135526
2000090412 0.135524
2000090418 0.135634
2000090500 0.135744
2000090506 0.135744
2000090512 0.135744
2000090518 0.135744
2000090600 0.135744
2000090606 0.135854
2000090612 0.135743
2000090618 0.135853
2000090700 0.135742
2000090706 0.135742
2000090712 0.135742
2000090718 0.135742
2000090800 0.135962
2000090806 0.136072
2000090812 0.135851
2000090818 0.135851
2000090900 0.135739
2000090906 0.13596
2000090912 0.135734
2000090918 0.135734
2000091000 0.135846
2000091006 0.135846
2000091012 0.135734
2000091018 0.135734
2000091100 0.135844
2000091106 0.135954
2000091112 0.135954
2000091118 0.135844
2000091200 0.135954
2000091206 0.135954
2000091212 0.135843
2000091218 0.135843
2000091300 0.135953
2000091306 0.135842
2000091312 0.135731
2000091318 0.135619
2000091400 0.135731
2000091406 0.135841
2000091412 0.135729
2000091418 0.135729
2000091500 0.135839
2000091506 0.135951
2000091512 0.135729
2000091518 0.135728
2000091600 0.135728
2000091606 0.135949
2000091612 0.135726
2000091618 0.135726
2000091700 0.135948
2000091706 0.135948
2000091712 0.135836
2000091718 0.135836
2000091800 0.135836
2000091806 0.135946
2000091812 0.135834
2000091818 0.135834
2000091900 0.135834
2000091906 0.136056
2000091912 0.135944
2000091918 0.136054
2000092000 0.136054
2000092006 0.136054
2000092012 0.136277
2000092018 0.136387
2000092100 0.136497
2000092106 0.136497
2000092112 0.136275
2000092118 0.136273
2000092200 0.136497
2000092206 0.136719
2000092212 0.136608
2000092218 0.136718
2000092300 0.136718
2000092306 0.136718
2000092312 0.136608
2000092318 0.13694
2000092400 0.13705
2000092406 0.13705
2000092412 0.136939
2000092418 0.137049
2000092500 0.137161
2000092506 0.137495
2000092512 0.137161
2000092518 0.137271
2000092600 0.137494
2000092606 0.137494
2000092612 0.137606
2000092618 0.137716
2000092700 0.137938
2000092706 0.137938
2000092712 0.138048
2000092718 0.13827
2000092800 0.13838
2000092806 0.138712
2000092812 0.138825
2000092818 0.138825
2000092900 0.138935
2000092906 0.139267
2000092912 0.139379
2000092918 0.139489
2000093000 0.139601
2000093006 0.139601
2000093012 0.139822
2000093018 0.139934
2000100100 0.140156
2000100106 0.140378
2000100112 0.140378
2000100118 0.140489
2000100200 0.14071
2000100206 0.140932
2000100212 0.141045
2000100218 0.140932
2000100300 0.141266
2000100306 0.141489
2000100312 0.141266
2000100318 0.141488
2000100400 0.141599
2000100406 0.14182
2000100412 0.141932
2000100418 0.141935
2000100500 0.142155
2000100506 0.142377
2000100512 0.142599
2000100518 0.142488
2000100600 0.142488
2000100606 0.14293
2000100612 0.14282
2000100618 0.143155
2000100700 0.143155
2000100706 0.143597
2000100712 0.143486
2000100718 0.143708
2000100800 0.14393
2000100806 0.144153
2000100812 0.144375
2000100818 0.144375
2000100900 0.144707
2000100906 0.144927
2000100912 0.145151
2000100918 0.145151
2000101000 0.145484
2000101006 0.145706
2000101012 0.145928
2000101018 0.145817
2000101100 0.14615
2000101106 0.146373
2000101112 0.146261
2000101118 0.146373
2000101200 0.146704
2000101206 0.14704
2000101212 0.146818
2000101218 0.147039
2000101300 0.147263
2000101306 0.147485
2000101312 0.147596
2000101318 0.147706
2000101400 0.148039
2000101406 0.148151
2000101412 0.148041
2000101418 0.148265
2000101500 0.148487
2000101506 0.148708
2000101512 0.148819
2000101518 0.148929
2000101600 0.149265
2000101606 0.149598
2000101612 0.149486
2000101618 0.149598
2000101700 0.150153
2000101706 0.150377
2000101712 0.150598
2000101718 0.150597
2000101800 0.151041
2000101806 0.151265
2000101812 0.151376
2000101818 0.151598
2000101900 0.152042
2000101906 0.152153
2000101912 0.152377
2000101918 0.152709
2000102000 0.152931
2000102006 0.153376
2000102012 0.153376
2000102018 0.153598
2000102100 0.154042
2000102106 0.154265
2000102112 0.154376
2000102118 0.154711
2000102200 0.155042
2000102206 0.155598
2000102212 0.155599
2000102218 0.15582
2000102300 0.156486
2000102306 0.156597
2000102312 0.156709
2000102318 0.157042
2000102400 0.157487
2000102406 0.15804
2000102412 0.157931
2000102418 0.158154
2000102500 0.158819
2000102506 0.159264
2000102512 0.159376
2000102518 0.159708
2000102600 0.160042
2000102606 0.160485
2000102612 0.160709
2000102618 0.16082
2000102700 0.161376
2000102706 0.161931
2000102712 0.162154
2000102718 0.162265
2000102800 0.162931
2000102806 0.163264
2000102812 0.163488
2000102818 0.163822
2000102900 0.164487
2000102906 0.165043
2000102912 0.165151
2000102918 0.165819
2000103000 0.166262
2000103006 0.16704
2000103012 0.167594
2000103018 0.168037
2000103100 0.168704
2000103106 0.169257
2000103112 0.169702
2000103118 0.170368
2000110100 0.170924
2000110106 0.171476
2000110112 0.17181
2000110118 0.172588
2000110200 0.173252
2000110206 0.174031
2000110212 0.174253
2000110218 0.17503
2000110300 0.175584
2000110306 0.176361
2000110312 0.176805
2000110318 0.177138
2000110400 0.178025
2000110406 0.178802
2000110412 0.179581
2000110418 0.180914
2000110500 0.182244
2000110506 0.18402
2000110512 0.185684
2000110518 0.187569
2000110600 0.189785
2000110606 0.192223
2000110612 0.193886
2000110618 0.196439
2000110700 0.198769
2000110706 0.201206
2000110712 0.203091
2000110718 0.205642
2000110800 0.208415
2000110806 0.210635
2000110812 0.212077
2000110818 0.214411
2000110900 0.216192
2000110906 0.218196
2000110912 0.219979
2000110918 0.221877
2000111000 0.223323
2000111006 0.225106
2000111012 0.226552
2000111018 0.228
2000111100 0.229223
2000111106 0.230779
2000111112 0.232446
2000111118 0.23478
2000111200 0.236445
2000111206 0.237779
2000111212 0.239114
2000111218 0.240781
2000111300 0.242225
2000111306 0.243561
2000111312 0.244894
2000111318 0.24667
2000111400 0.248003
2000111406 0.249226
2000111412 0.250117
2000111418 0.251562
2000111500 0.253005
2000111506 0.254448
2000111512 0.255887
2000111518 0.2581
2000111600 0.259654
2000111606 0.260763
2000111612 0.261541
2000111618 0.262648
2000111700 0.264091
2000111706 0.2652
2000111712 0.265752
2000111718 0.267077
2000111800 0.268187
2000111806 0.269073
2000111812 0.269404
2000111818 0.270068
2000111900 0.270734
2000111906 0.271286
2000111912 0.271507
2000111918 0.272061
2000112000 0.272837
2000112006 0.273502
2000112012 0.273501
2000112018 0.273831
2000112100 0.274497
2000112106 0.275053
2000112112 0.27494
2000112118 0.275161
2000112200 0.275827
2000112206 0.276492
2000112212 0.276049
2000112218 0.27649
2000112300 0.277156
2000112306 0.277488
2000112312 0.277265
2000112318 0.277375
2000112400 0.27804
2000112406 0.278376
2000112412 0.277929
2000112418 0.278264
2000112500 0.278929
2000112506 0.279264
2000112512 0.279149
2000112518 0.279483
2000112600 0.280039
2000112606 0.280482
2000112612 0.280036
2000112618 0.280478
2000112700 0.281035
2000112706 0.281478
2000112712 0.281588
2000112718 0.281916
2000112800 0.282806
2000112806 0.28336
2000112812 0.283025
2000112818 0.283246
2000112900 0.28369
2000112906 0.284246
2000112912 0.284024
2000112918 0.284245
2000113000 0.284689
2000113006 0.285357
2000113012 0.284911
2000113018 0.285354
2000120100 0.285799
2000120106 0.286353
2000120112 0.286463
2000120118 0.287235
2000120200 0.287901
2000120206 0.288565
2000120212 0.288896
2000120218 0.289891
2000120300 0.290555
2000120306 0.291109
2000120312 0.291329
2000120318 0.291885
2000120400 0.292328
2000120406 0.293217
2000120412 0.293326
2000120418 0.293878
2000120500 0.294876
2000120506 0.29521
2000120512 0.295763
2000120518 0.296317
2000120600 0.296986
2000120606 0.297539
2000120612 0.29787
2000120618 0.298647
2000120700 0.299533
2000120706 0.300199
2000120712 0.301193
2000120718 0.302967
2000120800 0.303745
2000120806 0.304411
2000120812 0.304855
2000120818 0.30541
2000120900 0.3063
2000120906 0.306856
2000120912 0.306855
2000120918 0.30741
2000121000 0.307856
2000121006 0.308299
2000121012 0.308522
2000121018 0.309075
2000121100 0.309741
2000121106 0.311072
2000121112 0.312178
2000121118 0.314619
2000121200 0.315953
2000121206 0.317178
2000121212 0.3184
2000121218 0.320402
2000121300 0.322627
2000121306 0.32463
2000121312 0.326078
2000121318 0.327965
2000121400 0.32919
2000121406 0.330636
